Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin
0,3,0,22.0,1,0,7.25,1.529859938685079
1,1,1,38.0,1,0,71.2833,5.0
1,3,1,26.0,0,0,7.925,1.633596152030936
1,1,1,35.0,1,0,53.1,5.0
0,3,0,35.0,0,0,8.05,1.8321979880242392
0,3,0,28.285214430988766,0,0,8.4583,1.8335940454572892
0,1,0,54.0,0,0,51.8625,3.0
0,3,0,2.0,3,1,21.075,0.9248917199464817
1,3,1,27.0,0,2,11.1333,1.5384995417238772
1,2,1,14.0,1,0,30.0708,2.971380615701599
1,3,1,4.0,1,1,16.7,1.0
1,1,1,58.0,0,0,26.55,5.0
0,3,0,20.0,0,0,8.05,1.8321979880242392
0,3,0,39.0,1,5,31.275,1.3468400689862463
0,3,1,14.0,0,0,7.8542,1.6333540730050728
1,2,1,55.0,0,0,16.0,3.2228724958626906
0,3,0,2.0,4,1,29.125,0.6528135488402285
1,2,0,35.21521185538955,0,0,13.0,3.410789346604261
0,3,1,31.0,1,0,18.0,1.3684418513678054
1,3,1,25.06471981613221,0,0,7.225,1.631202715334548
0,2,0,35.0,0,0,26.0,3.4552388852514673
1,2,0,34.0,0,0,13.0,4.0
1,3,1,15.0,0,0,8.0292,1.6339524321791696
1,1,0,28.0,0,0,35.5,7.0
0,3,1,8.0,3,1,21.075,0.7267172833632483
1,3,1,38.0,1,5,31.3875,1.1490502918720749
0,3,0,28.30731383145873,0,0,7.225,1.8293771519177815
0,1,0,19.0,3,2,263.0,5.0
1,3,1,25.052997260559803,0,0,7.8792,1.6334395528870864
0,3,0,28.29529382186232,0,0,7.8958,1.8316707481119776
0,1,0,40.0,0,0,27.7208,5.022788978431524
1,1,1,32.78829388064973,1,0,146.5208,6.0
1,3,1,25.05531238465023,0,0,7.75,1.6329977928568393
0,2,0,66.0,0,0,10.5,3.402241358402875
0,1,0,28.0,1,0,82.1708,4.909361468342992
0,1,0,42.0,1,0,52.0,4.806201611372442
